kinase,upregulated,downregulated,unregulated,upregulated_enrichment_value,upregulated_enrichment_value_log2,upregulated_p_value,upregulated_p_value_log10_abs,upregulated_adjusted_p_value,upregulated_adjusted_p_value_log10_abs,downregulated_enrichment_value,downregulated_enrichment_value_log2,downregulated_p_value,downregulated_p_value_log10_abs,downregulated_adjusted_p_value,downregulated_adjusted_p_value_log10_abs,dominant_direction,dominant_enrichment_value_log2,dominant_p_value_log10_abs,dominant_adjusted_p_value_log10_abs
CAMK1B,12.0,2.0,73.0,1.4465753424657535,0.532641465591074,0.1603865639513393,0.7948320166391434,0.8318321002294385,0.07996432431309013,0.21376234469576297,-2.225920357381932,0.9986579059197457,0.0005832555327546204,1.0,0.0,upregulated set,0.532641465591074,0.7948320166391434,0.07996432431309013
CAMK1D,21.0,6.0,112.0,1.675464527027027,0.7445611420935945,0.02900424369142712,1.5375384546205253,0.19207769066621472,0.7165230744053652,0.4167542016806723,-1.2627313504727615,0.9937731661448294,0.0027127342483298693,1.0,0.0,upregulated set,0.7445611420935945,1.5375384546205253,0.7165230744053652
CAMK1G,7.0,4.0,130.0,0.45630272952853596,1.1319368111114563,0.9912349320374316,0.0038234014223695843,1.0,0.0,0.2363472784525416,-2.0810198427807207,0.9999034110264163,4.1950084230489963e-05,1.0,0.0,upregulated set,1.1319368111114563,0.0038234014223695843,0.0
CAMK2A,64.0,11.0,188.0,3.45673198217139,1.7894087485288692,4.817837443014781e-13,12.317147857470234,1.8247559315418483e-11,10.738795215959872,0.44869799936487775,-1.156183343484658,0.9984157098710497,0.0006885940712756222,1.0,0.0,upregulated set,1.7894087485288692,12.317147857470234,10.738795215959872
CAMK2B,65.0,6.0,179.0,3.7148621087168574,1.8933086606259326,2.4920623128682415e-14,13.603441102543972,1.887737201997693e-12,11.72405846536963,0.25415708182714425,-1.976207664319151,0.9999859786462094,6.089439271254459e-06,1.0,0.0,upregulated set,1.8933086606259326,13.603441102543972,11.72405846536963
CAMK2D,40.0,6.0,147.0,2.5639136521034405,1.3583476754590564,2.933071582050313e-06,5.532677337868374,3.864002997222803e-05,4.412962545383661,0.3133253301320528,-1.6742666887956632,0.9997050990482589,0.00012809274431374145,1.0,0.0,upregulated set,1.3583476754590564,5.532677337868374,4.412962545383661
CAMK2G,70.0,12.0,211.0,3.4196135617936565,1.7738333005544615,8.423370615101485e-14,13.074514090611736,3.646116137679643e-12,11.438169502123687,0.43352158242756195,-1.2058242765587233,0.9993376768300732,0.00028773859642756603,1.0,0.0,upregulated set,1.7738333005544615,13.074514090611736,11.438169502123687
CAMK4,7.0,5.0,74.0,0.8187009590235397,0.2885915095850621,0.7455106351286949,0.12754615671164174,1.0,0.0,0.5316239993659349,-0.9115218605052388,0.9503948620713939,0.02209592019545064,1.0,0.0,upregulated set,0.2885915095850621,0.12754615671164174,0.0
CAMKK1,12.0,11.0,79.0,1.333720688939614,0.4154565654181152,0.22345423733699396,0.6508114054492427,1.0,0.0,1.1130927640279615,-0.1545738304393702,0.42136302626045474,0.37534357550424785,1.0,0.0,upregulated set,0.4154565654181152,0.6508114054492427,0.0
CAMKK2,18.0,16.0,96.0,1.6686872909698998,0.7387136215452713,0.04145253312653003,1.382448924962694,0.2563289293334408,0.5912023764889026,1.343939393939394,-0.42646808005524817,0.17676616130955874,0.7526008692046284,0.8501610615364492,0.07049879015590514,upregulated set,0.7387136215452713,1.382448924962694,0.5912023764889026
